ESTILO;UNIDADES;DEPARTAMENTO
133801;3;626
133803;12;626
133804;6;626
133805;12;626
133806;9;626
133807;13;626
133808;8;626
133809;9;626
133810;2;700
133811;6;626
133812;5;626
133813;2;626
133814;2;626
133815;8;626
133820;13;743
133822;28;743
133824;13;743
133825;31;743
133826;4;743
133833;245;742
133836;2;725
133839;4;724
133840;14;724
133841;2;722
133842;2;722
133845;7;722
133851;5;722
133854;3;722
133857;5;722
133858;6;624
133862;5;722
133864;2;625
133866;2;722
133867;2;625
133870;1;625
133871;7;722
133875;72;622
133879;12;622
133882;12;622
133892;24;660
133898;20;649
133899;64;649
133900;24;649
133901;24;649
133908;1;702
133909;1;702
133910;1;702
133911;1;702
133913;1;702
133915;2;702
133916;2;702
133919;1;702
133920;2;702
133922;1;702
133923;1;702
133924;3;702
133925;1;702
133926;1;702
133931;2;702
133933;1;702
133934;8;702
133938;2;702
133939;4;702
133940;1;702
133942;2;702
133943;2;702
133944;2;702
133945;2;702
133946;1;702
133947;2;702
133948;2;702
133953;5;702
133954;2;702
133957;1;702
133960;3;702
133963;4;702
133964;1;702
133965;1;702
133966;2;702
133968;1;702
133971;2;702
133974;1;702
133977;3;702
133978;4;702
133981;2;702
133982;3;702
133983;3;702
133985;10;660
133986;2;702
133987;3;702
133988;4;702
133989;1;702
133990;1;702
133991;2;702
133993;2;702
133996;3;702
133997;2;702
134001;1;702
134004;2;702
134005;1;702
134006;1;702
134007;1;702
134009;1;702
134011;2;702
134012;1;702
134014;1;702
134015;1;702
134016;2;702
134018;2;702
134019;2;702
134020;10;660
134022;9;660
134023;12;660
134026;8;660
134032;10;660
134033;15;660
134034;8;660
134035;5;660
134036;5;660
134037;17;660
134069;19;648
134071;20;648
134072;20;648
134073;20;648
134084;12;742
134089;15;683
134095;30;683
134096;1;683
134098;4;683
134106;36;724
134107;61;724
134108;61;724
134109;80;724
134110;29;724
134112;43;724
134113;14;724
134114;33;724
134120;11;725
134121;33;725
134123;42;725
134134;40;725
134140;43;725
134142;36;725
134143;42;725
134145;50;725
134160;42;725
134161;40;725
134162;52;725
134163;29;725
134277;32;680
134498;26;724
134501;5;649
134505;14;724
134506;3;649
134525;16;724
134526;13;724
134550;75;730
134559;9;730
134568;28;730
134580;14;722
134582;29;730
134587;11;722
134596;5;730
134600;14;722
134602;7;730
134605;11;624
134620;1;682
134622;17;724
134624;11;724
134625;20;724
134626;8;724
134627;16;724
134628;3;724
134629;5;724
134630;17;724
134632;13;724
134633;17;724
134640;5;730
134641;13;730
134645;2;730
134646;11;730
134647;13;730
134648;8;730
134649;7;730
134650;2;730
134651;3;730
134654;1;730
134655;1;730
134658;2;730
134661;1;730
134662;9;730
134663;12;730
134664;19;730
134665;6;730
134667;2;730
134669;1;730
134670;3;730
134671;2;730
134672;1;730
134673;3;730
134674;6;730
134675;2;730
134676;9;730
134678;2;730
134680;3;730
134681;18;730
134682;9;730
134685;7;730
134688;2;730
134689;3;730
134693;2;730
134696;8;730
134700;4;700
134702;2;730
134705;3;730
134706;6;730
134707;3;730
134709;9;730
134715;10;730
134716;8;730
134718;45;730
134723;8;722
134724;3;742
134725;3;742
134726;3;742
134727;11;730
134728;3;742
134729;4;730
134740;3;680
134743;13;680
134746;66;660
134747;69;660
134750;1;604
134751;3;604
134754;67;660
134757;66;660
134758;66;660
134759;45;660
134761;48;660
134762;45;660
134763;54;660
134764;65;660
134765;66;660
134766;67;660
134771;91;730
134778;18;721
134779;9;721
134855;4;702
134859;2;734
134860;6;734
134863;23;734
134864;18;734
134866;25;734
134868;14;734
134870;4;734
134871;20;734
134873;14;734
134874;1;734
134875;2;734
134876;20;734
134879;26;734
134883;5;734
134885;5;734
134887;5;734
134888;5;734
134890;2;734
134896;5;734
134907;5;734
134917;5;734
134949;2;734
134950;5;734
134951;5;734
134958;1;734
134960;5;734
134961;1;734
134963;5;734
134966;6;734
134972;2;734
134973;2;734
134976;30;724
134977;19;724
134978;23;724
134979;15;724
134980;70;723
134982;9;648
135036;2;668
135037;2;668
135044;2;668
135045;1;668
135052;6;721
135053;32;721
135062;27;721
135070;19;603
135073;6;642
135074;5;642
135075;4;642
135076;12;642
135077;45;721
135096;5;725
135097;14;649
135098;18;725
135100;12;649
135123;48;646
135125;48;646
135127;48;646
135128;24;646
135135;48;646
135139;49;647
135144;36;647
135145;60;647
135146;48;647
135147;12;647
135199;1;721
135201;2;721
135202;1;721
135203;3;721
135205;4;721
135207;6;721
135208;6;721
135211;5;721
135213;1;721
135214;1;721
135216;3;721
135221;2;721
135224;1;721
135226;3;721
135229;1;721
135234;2;721
135237;3;721
135302;3;721
135315;3;721
135330;2;721
135335;3;721
135396;304;701
135398;10;721
135415;249;701
135549;2;724
135563;2;625
135564;1;625
135565;1;625
135644;5;667
135645;12;667
135646;10;730
135647;7;730
135648;2;730
135656;8;730
135657;8;625
135658;3;625
135659;3;625
135660;10;730
135661;10;722
135665;8;730
135667;8;700
135668;17;700
135669;9;730
135670;16;700
135671;6;730
135673;12;700
135674;13;730
135676;2;730
135704;12;649
135705;9;683
135749;16;649
135751;33;649
135752;42;649
135756;20;649
135765;20;649
135769;10;730
135772;1;730
135773;29;730
135775;20;730
135781;65;601
135791;30;730
135793;30;730
135802;15;667
135803;15;667
135806;45;730
135807;48;730
135808;8;730
135809;10;730
135810;10;730
135811;9;730
135812;10;730
135901;15;742
135914;10;648
135917;9;648
135918;4;648
135919;10;648
135921;10;648
135923;3;648
135924;10;648
135925;9;648
135926;7;648
135927;11;740
135928;10;648
135929;9;648
135931;7;740
135932;8;648
135935;6;740
135937;3;740
135940;6;664
135944;10;625
135951;1;664
135952;4;682
135982;12;601
135983;40;601
135984;44;601
135985;15;601
135988;8;648
135990;10;648
135991;17;648
135992;20;648
135993;17;648
135994;8;648
135996;27;648
135997;9;648
135998;10;648
136000;10;648
136001;20;648
136003;6;648
136005;20;648
136006;20;648
136007;20;648
136008;18;648
136009;19;648
136010;20;648
136011;20;648
136034;20;648
136035;19;648
136036;19;648
136038;10;602
136039;18;648
136040;10;602
136043;4;602
136045;10;602
136047;5;602
136049;10;660
136053;5;660
136054;10;648
136056;5;660
136058;5;660
136059;5;660
136061;4;660
136063;12;660
136065;53;660
136069;10;648
136078;9;648
136087;9;648
136088;14;603
136091;16;603
136093;24;603
136094;28;642
136096;5;642
136098;5;642
136101;12;642
136103;20;642
136105;5;642
136107;8;642
136159;9;648
136160;10;648
136161;20;648
136162;19;648
136163;10;648
136164;20;648
136165;19;648
136166;19;648
136167;19;648
136168;19;648
136170;19;648
136171;19;648
136173;20;648
136175;20;648
136202;24;724
136203;18;724
136204;12;724
136206;24;724
136208;8;724
136209;12;724
136213;2;626
136230;3;741
136234;1;741
136235;20;741
136245;30;605
136248;2;664
136264;3;664
136269;1;664
136277;1;664
136278;1;664
136289;1;601
136291;3;601
136296;1;741
136297;1;741
136301;17;603
136302;13;603
136303;15;603
136304;12;603
136338;1100;626
136340;1099;626
136341;1100;626
136342;1099;626
136345;22;649
136347;12;649
136351;12;649
136352;24;649
136353;16;649
136363;24;649
136367;12;649
136368;20;649
136370;20;649
136372;1;649
136381;1100;626
136390;12;649
136399;16;649
136402;12;649
136409;1100;626
136427;99;626
136428;21;649
136429;6;649
136430;6;649
136446;1100;626
136451;15;649
136455;24;649
136472;1100;626
136476;10;649
136481;20;649
136482;10;649
136483;10;649
136484;16;649
136488;7;721
136492;36;649
136500;10;626
136517;15;721
136521;17;649
136527;13;649
136531;12;649
136555;22;649
136560;31;649
136562;20;721
136563;2;649
136569;20;649
136571;14;649
136572;17;649
136586;2;721
136589;1;721
136591;9;730
136597;14;649
136599;27;724
136600;26;724
136601;16;724
136603;23;724
136704;107;648
136705;91;648
136707;24;648
136708;25;648
136709;25;648
136710;24;648
136716;20;648
136718;20;648
136719;30;648
136722;30;648
136730;12;602
136735;16;603
136737;13;642
136738;5;642
136739;10;642
136740;22;603
136741;2;670
136744;10;721
136747;1;670
136750;2;670
136751;4;721
136752;14;721
136753;10;648
136754;13;648
136755;19;648
136756;10;648
136757;1;670
136758;9;648
136760;3;670
136766;36;723
136767;12;723
136770;63;723
136778;19;664
136787;1;682
136795;25;664
136799;11;664
136810;4;726
136811;4;726
136813;4;726
136814;4;726
136816;4;726
136817;3;726
136818;5;664
136820;6;726
136821;6;726
136823;6;726
136824;6;726
136825;6;726
136827;4;726
136829;4;726
136833;4;726
136834;4;726
136835;4;726
136837;4;726
136843;4;726
136845;4;726
136846;4;726
136847;4;726
136849;4;726
136850;12;726
136852;12;726
136854;12;726
136856;12;726
136857;12;726
136859;10;726
136860;12;726
136863;10;726
136864;12;726
136872;12;726
136873;12;726
136874;1;664
136875;10;726
136876;12;726
136877;9;726
136879;12;726
136880;12;726
136882;12;726
136883;12;726
136884;9;664
136885;6;726
136886;6;726
136887;4;664
136888;6;726
136889;6;726
136891;6;726
136892;6;726
136893;10;726
136894;6;664
136895;10;726
136896;10;726
136897;17;664
136898;10;726
136899;10;726
136901;10;726
136902;18;726
136904;14;726
136905;13;726
136907;14;726
136908;18;726
136910;14;726
136913;17;664
136917;4;664
136920;22;664
136971;18;664
137451;2;626
137453;2;626
137455;2;626
137457;3;626
137459;4;626
137504;20;664
137527;21;664
137528;3;726
137530;5;726
137531;6;726
137532;2;726
137572;4;726
137573;6;726
137575;4;726
137576;4;726
137577;6;726
137601;20;664
137602;6;726
137605;4;726
137606;4;726
137608;4;726
137609;4;726
137641;6;726
137643;3;726
137644;5;726
137671;1;726
137672;2;726
137674;5;726
137687;10;664
137690;30;704
137694;2;726
137695;4;726
137726;5;726
137727;5;726
137728;3;726
137729;6;726
137730;4;726
137731;5;726
137732;2;726
137733;4;726
137748;20;664
137769;5;726
137790;1;726
137817;6;726
137820;17;664
137821;2;726
137848;6;726
137849;5;726
137850;6;726
137852;6;726
137853;6;726
137854;6;726
137855;6;726
137874;6;726
137875;5;726
137876;6;726
137877;6;726
137882;5;726
137883;6;726
137891;10;664
137909;6;726
137910;6;726
137911;6;726
137912;6;726
137913;5;726
137914;5;726
137944;6;726
137946;6;726
137948;3;726
137949;3;726
137950;3;726
137951;3;726
137953;3;726
137954;3;726
137991;3;726
137992;9;664
137993;3;726
137999;2;726
138001;50;649
138005;3;726
138006;3;726
138007;2;726
138008;3;726
138009;3;726
138010;3;726
138011;3;726
138042;3;726
138043;3;726
138044;3;726
138045;2;726
138046;3;726
138047;3;726
138048;3;726
138049;3;726
138050;30;649
138051;3;726
138052;3;726
138061;45;649
138070;10;664
138079;45;649
138086;4;726
138088;5;726
138096;45;649
138107;45;649
138115;35;649
138121;5;649
138143;14;604
138145;20;604
138162;24;664
138166;24;664
138167;24;664
138168;24;664
138171;6;664
138177;49;669
138179;50;669
138180;50;669
138181;45;669
138182;5;669
138183;50;669
138185;15;648
138193;76;670
138197;4;670
138200;5;670
138202;50;670
138203;50;670
138215;10;667
138216;4;667
138217;8;667
138218;18;667
138219;3;667
138221;8;667
138223;16;667
138227;4;667
138229;15;667
138235;18;667
138237;18;667
138238;1;667
138245;14;667
138247;8;667
138248;11;667
138249;6;667
138251;18;667
138254;3;667
138257;13;667
138260;5;667
138262;18;667
138263;13;667
138264;17;667
138266;8;667
138267;15;667
138270;8;667
138273;13;667
138275;14;667
138276;1;667
138277;14;667
138278;9;667
138280;6;667
138281;2;667
138283;16;667
138284;15;667
138285;7;667
138286;5;667
138287;6;667
138290;8;667
138292;8;667
138293;19;667
138295;8;667
138296;18;667
138297;15;667
138300;12;667
138301;9;667
138303;4;667
138304;9;667
138306;3;667
138310;10;667
138311;14;667
138313;3;667
138314;2;667
138320;3;667
138321;6;667
138322;11;667
138324;23;667
138326;17;667
138327;2;667
138328;8;667
138329;9;667
138331;11;667
138332;4;667
138334;2;667
138336;3;667
138337;15;667
138338;11;667
138341;5;667
138342;6;667
138345;18;667
138348;5;667
138349;19;667
138353;28;667
138363;41;725
138364;16;725
138365;2;725
138366;34;725
138369;25;725
138380;35;649
138382;50;649
138384;15;649
138396;19;721
138397;18;721
138398;9;721
138399;4;721
138400;24;721
138401;3;721
138406;298;680
138407;211;680
138408;22;680
138409;240;680
138419;60;704
138421;46;648
138425;1;682
138426;6;682
138429;15;682
138444;3;648
138446;1;648
138448;2;648
138449;1;648
138451;2;648
138452;2;648
138463;2;648
138464;2;648
138469;2;648
138470;2;648
138475;2;648
138477;2;648
138479;2;648
138480;2;648
138482;2;648
138483;2;648
138485;2;648
138488;2;648
138490;2;648
138493;2;648
138494;2;648
138496;2;648
138497;2;648
138498;1;648
138499;2;648
138500;2;648
138501;2;648
138504;1;648
138509;1;648
138518;3;648
138520;3;648
138522;6;648
138523;1;648
138526;2;648
138528;2;648
138529;4;648
138533;2;648
138534;2;648
138535;258;701
138536;2;648
138538;12;603
138541;13;642
138542;2;648
138546;12;642
138547;2;648
138549;2;648
138552;2;648
138553;2;648
138555;2;648
138560;3;647
138566;50;669
138567;50;669
138568;15;669
138569;16;669
138570;8;669
138571;35;669
138594;7;704
138595;14;704
138597;4;741
138602;33;726
138603;36;726
138604;35;726
138607;24;726
138609;32;726
138610;24;726
138611;3;648
138612;24;726
138613;28;648
138615;18;648
138618;17;726
138619;1201;648
138620;20;726
138623;1;726
138624;12;726
138625;15;648
138626;12;726
138627;9;648
138628;8;648
138631;3;648
138635;4;726
138636;11;648
138639;4;648
138640;7;648
138641;9;648
138642;7;648
138643;17;648
138644;1;648
138645;5;648
138646;7;648
138740;16;683
138741;16;683
138801;4;649
138829;24;726
138849;6;683
138853;6;683
138858;4;683
138859;5;683
138860;5;683
138863;6;683
138927;36;642
138930;48;642
138931;32;642
138932;24;664
138951;2;730
138952;3;730
138953;3;730
138959;65;664
138960;7;626
138961;36;642
138964;18;664
138970;24;643
138973;23;643
138976;7;626
138978;18;664
138982;9;664
138987;34;664
138992;3;626
138995;36;664
138998;18;664
139136;26;664
139156;2;734
139157;4;734
139158;3;734
139159;3;734
139160;2;734
139161;2;734
139162;4;734
139163;3;734
139164;5;734
139165;3;734
139166;4;734
139167;3;734
139168;5;734
139169;5;734
139170;2;734
139171;4;734
139172;2;734
139173;4;734
139177;3;734
139178;4;734
139179;4;734
139180;4;734
139181;5;734
139182;3;734
139183;3;734
139184;2;734
139185;3;734
139186;4;734
139187;17;664
139188;3;734
139189;3;734
139190;5;734
139193;2;734
139194;2;734
139195;4;734
139196;3;734
139197;5;734
139198;5;734
139199;5;734
139200;2;734
139202;3;734
139203;5;734
139204;2;734
139205;5;734
139206;3;734
139207;3;734
139208;2;734
139209;3;734
139210;2;734
139211;4;734
139212;5;734
139213;2;734
139215;4;734
139216;3;734
139217;5;734
139218;12;721
139222;5;734
139223;5;734
139224;5;734
139225;36;664
139226;5;734
139227;5;734
139228;1;734
139229;5;734
139230;3;734
139231;4;734
139232;4;734
139233;1;734
139234;3;734
139235;5;734
139237;3;734
139238;3;734
139239;2;734
139242;5;734
139243;4;734
139246;2;734
139248;3;734
139249;2;734
139253;2;734
139254;5;734
139258;5;734
139260;5;734
139261;4;734
139263;3;734
139265;2;734
139266;2;734
139267;5;734
139269;1;734
139273;3;734
139275;12;721
139277;4;734
139278;3;734
139280;2;734
139281;5;734
139282;5;734
139283;5;734
139284;5;734
139285;5;734
139286;5;734
139287;18;664
139288;2;734
139289;5;734
139295;5;734
139296;5;734
139297;5;734
139298;3;734
139303;2;734
139314;2;734
139315;12;721
139316;5;734
139317;5;734
139318;5;734
139322;5;734
139330;5;734
139331;5;734
139332;5;734
139333;5;734
139334;2;734
139335;5;734
139336;5;734
139337;5;734
139338;5;734
139339;3;734
139340;2;734
139341;3;734
139342;18;664
139343;2;734
139344;5;734
139345;5;734
139346;5;734
139347;5;734
139348;2;734
139349;4;734
139350;5;734
139351;1;734
139352;4;734
139353;5;734
139354;5;734
139355;5;734
139356;5;734
139367;1;734
139424;2;734
139425;5;734
139426;5;734
139427;2;734
139428;5;734
139429;2;734
139430;2;734
139431;2;734
139432;4;734
139433;2;734
139434;2;734
139435;2;734
139436;4;734
139437;2;734
139438;5;734
139439;2;734
139440;1;734
139442;2;734
139444;3;734
139445;2;734
139446;4;734
139447;3;734
139448;3;734
139457;10;700
139460;5;734
139461;4;734
139463;5;734
139464;5;734
139465;2;734
139466;2;734
139467;3;734
139474;2;734
139475;4;734
139476;5;734
139477;5;734
139478;5;734
139479;3;734
139480;2;734
139481;3;734
139482;2;734
139483;5;734
139499;12;724
139500;12;724
139501;24;724
139502;24;724
139503;24;724
139504;14;724
139505;12;724
139506;12;724
139517;72;724
139518;64;724
139520;95;724
139521;23;724
139522;86;724
139524;79;724
139526;95;724
139528;54;724
139550;21;724
139551;12;623
139562;6;623
139564;6;623
139566;8;667
139567;7;667
139568;6;623
139569;11;667
139570;11;667
139571;6;623
139572;21;667
139573;6;623
139574;12;667
139594;3;680
139601;2;680
139611;1;680
139619;3;680
139620;2;680
139621;11;680
139624;11;667
139628;8;667
139629;12;667
139630;12;667
139631;10;702
139633;12;702
139635;7;702
139638;10;667
139639;12;667
139640;2;702
139641;6;702
139643;10;702
139652;144;724
139653;72;724
139654;45;724
139655;42;724
139656;65;724
139657;78;724
139660;100;724
139663;30;724
139664;22;724
139665;24;724
139666;24;724
139668;4;602
139670;9;602
139672;16;602
139673;2;602
139674;4;602
139678;7;724
139679;32;724
139680;81;724
139681;31;724
139682;30;724
139683;20;724
139684;19;724
139692;7;642
139693;8;642
139694;8;642
139695;10;642
139697;6;642
139698;4;642
139699;4;642
139700;8;642
139701;11;724
139702;15;724
139703;11;724
139704;38;724
139705;78;724
139706;30;724
139707;20;724
139708;13;724
139709;35;724
139711;19;724
139712;50;724
139713;20;648
139714;20;648
139715;20;648
139716;20;648
139717;15;724
139718;34;724
139719;16;724
139720;36;724
139722;8;726
139728;11;724
139729;30;724
139730;12;724
139732;19;724
139733;52;724
139734;24;724
139735;13;724
139737;25;724
139740;31;724
139742;10;724
139743;16;724
139765;4;733
139766;9;733
139767;7;733
139769;17;743
139776;17;725
139777;20;725
139778;19;725
139779;23;725
139780;23;725
139781;26;725
139782;19;725
139783;26;725
139784;27;725
139786;48;725
139787;21;725
139789;36;725
139790;71;725
139791;37;725
139792;28;725
139793;83;725
139795;32;725
139796;76;725
139799;9;725
139807;8;725
139808;13;725
139809;8;725
139810;8;725
139814;1;667
139817;18;667
139818;13;667
139819;18;667
139821;17;667
139822;15;667
139828;4;667
139829;17;667
139830;2;667
139831;15;667
139837;2;667
139838;2;667
139840;15;667
139842;15;667
139845;322;625
139849;20;603
139850;8;642
139851;7;642
139853;9;642
139854;10;642
139867;9;643
139869;9;643
139873;7;643
139880;4;682
139882;34;682
139887;1;682
139893;11;643
139901;30;682
139902;4;682
139919;35;682
139921;36;682
139924;32;682
139925;26;682
139930;26;682
139931;22;682
139932;21;682
139933;34;682
139935;28;682
139936;37;682
139937;34;682
139938;36;682
139939;35;682
139953;250;722
139954;250;722
139955;248;722
139956;250;722
139957;233;722
139958;248;722
139960;235;722
139961;250;722
139962;250;722
139963;247;722
139964;250;722
139965;249;722
139966;250;722
139967;250;722
139968;232;722
139969;234;722
139970;249;722
139971;243;722
139972;243;722
139973;235;722
139974;250;722
139975;235;722
139976;231;722
139977;218;722
139978;248;722
139979;244;722
139980;243;722
139982;188;722
139983;249;722
139984;243;722
139985;242;722
139986;248;722
139987;225;722
139988;222;722
139989;250;722
139990;248;722
139991;246;722
139992;250;722
139993;248;722
139995;250;722
139997;249;722
140002;248;722
140004;247;722
140005;250;722
140006;250;722
140016;248;722
140017;243;722
140019;248;722
140020;242;722
140021;234;722
140022;229;722
140027;249;722
140028;219;722
140029;242;722
140032;8;649
140034;13;649
140039;33;601
140047;4;700
140052;250;722
140055;218;722
140056;250;722
140057;231;722
140058;250;722
140059;248;722
140060;249;722
140061;248;722
140062;241;722
140067;5;730
140068;3;730
140075;10;730
140076;15;730
140079;2;726
140081;8;726
140082;9;726
140084;6;730
140088;4;730
140090;3;730
140091;8;730
140092;2;730
140094;11;730
140097;11;730
140098;2;730
140099;6;730
140106;3;730
140107;2;730
140108;2;730
140110;4;730
140111;9;730
140118;3;730
140120;6;730
140122;6;730
140123;4;730
140126;2;722
140127;28;730
140129;18;730
140130;121;730
140133;19;730
140134;6;730
140135;35;730
140136;20;730
140138;3;730
140141;14;730
140145;27;730
140146;3;730
140168;3;730
140173;1;725
140174;1;725
140175;4;725
140176;4;725
140179;2;725
140194;7;730
140204;9;642
140205;14;642
140206;10;642
140207;9;642
140208;3;668
140209;11;668
140210;1;625
140246;7;603
140247;22;603
140253;10;668
140254;10;668
140255;3;668
140307;1;670
140317;6;670
140323;6;670
140330;6;670
140341;6;670
140348;4;670
140552;1;682
140557;7;682
140560;1;682
140562;1;682
140568;4;682
140569;6;682
140570;5;682
140589;4;668
140590;4;668
140592;3;668
140593;2;668
140594;1;647
140598;1;668
140599;1;646
140682;1;668
140717;16;730
140724;6;730
140731;4;730
140826;44;646
140837;48;647
140876;11;664
140892;2;668
140919;3;668
140925;2;668
140927;69;641
140932;2;668
140936;1;664
140964;3;668
140992;248;722
141011;215;722
141018;3;668
141029;3;668
141030;3;668
141031;4;668
141032;1;668
141033;4;668
141034;4;668
141035;3;668
141042;16;730
141068;24;682
141070;24;682
141071;12;682
141073;24;682
141074;48;682
141076;24;682
141077;24;682
141078;96;662
141080;39;730
141082;4;730
141084;2;730
141085;9;730
141090;20;662
141091;20;662
141092;21;662
141097;2;740
141108;2;625
141110;1;625
141111;2;625
141112;1;625
141116;1;625
141117;2;625
141118;1;625
141119;2;625
141120;2;625
141121;2;625
141122;2;625
141123;2;625
141124;2;625
141125;2;625
141126;2;625
141127;1;625
141135;2;625
141136;2;625
141138;2;625
141144;2;625
141146;2;625
141148;2;625
141152;2;625
141153;2;625
141169;1;625
141177;2;625
141200;5;625
141204;2;625
141208;2;625
141209;2;625
141227;25;662
141229;65;662
141230;24;724
141232;16;724
141233;18;724
141235;38;662
141237;16;724
141238;14;724
141239;12;724
141240;51;724
141246;36;661
141248;60;661
141249;6;741
141250;5;741
141251;60;661
141252;8;741
141253;57;724
141254;60;661
141257;5;741
141258;5;603
141259;35;603
141262;72;741
141263;1;642
141264;9;642
141266;12;642
141267;1;642
141269;11;642
141270;38;741
141273;8;642
141274;6;662
141275;12;662
141276;10;741
141278;177;662
141279;172;662
141280;6;662
141282;18;662
141283;4;662
141285;5;662
141287;54;662
141288;43;662
141289;8;662
141293;9;741
141295;26;741
141296;4;741
141298;10;741
141304;30;649
141310;14;649
141318;5;649
141320;19;649
141321;35;649
141322;6;649
141355;36;728
141361;36;728
141366;36;728
141368;36;728
141418;52;662
141422;98;662
141424;97;662
141426;2;649
141427;2;649
141430;1;649
141431;80;662
141434;12;731
141436;9;721
141437;18;721
141439;16;721
141441;7;721
141445;9;731
141447;4;649
141449;64;662
141450;1;731
141470;10;726
141488;5;731
141489;90;730
141490;90;730
141493;49;682
141494;45;682
141495;60;682
141496;43;682
141498;90;682
141499;90;730
141500;90;682
141501;36;682
141502;29;682
141507;23;682
141508;59;682
141511;34;682
141516;60;682
141518;59;730
141519;25;682
141520;30;682
141521;67;731
141523;15;682
141524;30;682
141530;141;682
141533;45;682
141535;44;682
141537;56;682
141538;54;682
141539;28;682
141542;31;731
141544;204;682
141545;94;682
141546;27;682
141548;53;682
141549;62;682
141550;8;682
141557;68;662
141562;24;662
141581;25;664
141585;11;741
141586;20;664
141611;6;603
141615;20;742
141619;1;640
141633;1;640
141663;16;603
141666;12;603
141667;45;722
141668;2;623
141670;3;623
141671;3;623
141672;4;623
141679;2;623
141680;2;623
141681;45;722
141682;3;623
141684;3;623
141685;3;623
141687;1;623
141689;4;623
141691;4;623
141692;4;623
141693;59;648
141694;3;623
141696;3;623
141697;14;603
141698;3;623
141699;1;625
141700;2;623
141701;337;648
141702;1;625
141703;1;625
141704;7;625
141705;3;623
141706;6;625
141707;2;625
141708;3;623
141709;65;648
141710;1;625
141712;3;625
141713;3;623
141715;10;625
141716;3;623
141718;5;625
141719;3;623
141721;4;625
141723;3;623
141726;2;625
141727;5;623
141728;5;625
141730;2;623
141732;2;625
141733;1;623
141734;2;625
141735;1;625
141736;3;623
141737;3;625
141738;3;625
141740;3;623
141743;2;625
141744;2;625
141745;2;623
141751;2;625
141752;2;625
141753;3;623
141754;2;625
141756;46;722
141757;4;623
141761;7;625
141762;3;625
141763;3;623
141764;2;625
141766;3;625
141767;4;623
141768;2;625
141769;3;625
141770;3;623
141771;37;625
141773;4;625
141774;3;623
141775;7;625
141776;2;625
141777;3;623
141779;3;625
141780;5;625
141781;3;623
141782;3;625
141783;2;625
141784;3;623
141785;3;625
141786;20;625
141787;2;623
141788;10;625
141789;8;625
141791;3;625
141793;3;625
141794;4;623
141795;3;625
141796;4;625
141797;3;623
141798;1;625
141799;2;625
141800;3;623
141802;3;625
141803;3;623
141804;3;625
141806;4;625
141807;3;625
141808;3;623
141809;4;625
141810;1;625
141811;3;623
141812;4;625
141813;2;625
141814;3;623
141815;1;625
141817;3;623
141818;1;625
141820;2;623
141821;1;625
141822;2;625
141823;2;623
141824;4;625
141825;50;722
141826;4;625
141827;3;623
141828;4;625
141829;4;625
141830;4;623
141831;4;625
141832;4;625
141833;4;623
141834;4;625
141835;4;625
141836;4;623
141837;4;625
141838;3;625
141841;4;625
141842;4;625
141843;4;623
141844;3;625
141845;7;625
141846;5;625
141847;2;625
141848;3;625
141849;2;625
141850;2;625
141851;2;625
141852;2;625
141853;29;722
141855;1;625
141857;1;625
141858;2;625
141859;2;625
141860;1;625
141861;2;625
141863;2;625
141864;36;625
141866;5;625
141867;12;625
141868;6;625
141869;2;625
141870;17;742
141873;2;625
141874;47;625
141876;2;625
141878;9;625
141879;9;625
141880;9;625
141881;29;722
141882;10;625
141884;10;625
141885;1;625
141886;20;682
141888;5;625
141889;24;682
141890;2;625
141891;4;625
141892;23;682
141893;2;625
141894;2;625
141895;10;682
141896;2;625
141897;2;625
141898;22;682
141899;2;625
141900;1;625
141901;1;625
141902;11;682
141904;1;625
141906;3;625
141908;1;625
141909;1;625
141910;19;682
141911;2;625
141912;2;625
141913;12;682
141914;2;625
141915;2;625
141917;2;625
141918;2;625
141920;1;625
141921;1;625
141922;2;625
141923;11;682
141924;2;625
141925;2;625
141926;30;722
141927;9;682
141928;1;625
141929;2;625
141930;24;682
141931;1;625
141932;2;625
141933;15;625
141934;36;682
141935;2;625
141936;2;625
141938;2;625
141939;2;625
141940;24;682
141941;2;625
141942;2;625
141943;11;682
141944;2;625
141945;2;625
141947;24;682
141948;2;625
141949;1;625
141950;21;682
141951;1;625
141953;12;682
141954;5;625
141955;1;625
141956;24;682
141957;2;625
141960;1;625
141963;2;625
141970;2;625
141972;21;682
141974;1;625
141975;21;682
141976;2;625
141977;2;625
141978;11;682
141979;2;625
141980;2;625
141981;12;682
141982;9;625
141983;15;625
141986;5;625
141987;3;625
141988;48;682
141989;2;625
141990;2;625
141991;24;682
141992;2;625
141993;2;625
141994;12;682
141995;2;625
141996;9;625
141997;22;682
141998;9;625
141999;21;625
142000;4;625
142001;12;682
142002;10;625
142003;19;625
142004;24;682
142005;2;625
142006;2;625
142007;21;682
142008;2;625
142009;2;625
142010;24;682
142013;24;682
142014;2;625
142015;2;625
142016;1;625
142017;2;625
142018;2;625
142019;2;625
142020;2;625
142021;2;625
142022;2;625
142025;24;682
142026;20;682
142027;22;682
142028;24;682
142029;12;682
142030;20;682
142031;12;682
142032;24;682
142033;12;682
142034;36;682
142035;36;682
142037;2;625
142038;2;625
142112;30;722
142113;48;662
142115;72;662
142121;8;603
142123;18;603
142124;96;662
142125;30;722
142126;19;722
142132;1;734
142133;58;722
142134;30;722
142135;29;722
142136;30;722
142137;30;722
142175;4;734
142176;2;734
142177;2;734
